ROW, FILEPATH, STATUS, SLURM_ARRAY_TASK_ID
3701, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10753/SS.10753_SS.14625.h5, FAILED, 37
3301, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09629/SS.09629_SS.15288.h5, FAILED, 33
2401, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.05179/SS.05179_SS.09637.h5, FAILED, 24
1701, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10505/SS.10505_SS.10740.h5, FAILED, 17
6100, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14461/SS.14461_SS.15157.h5, FAILED, 61
1401, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.06585/SS.06585_SS.15672.h5, FAILED, 14
3501, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.07111/SS.07111_SS.15753.h5, FAILED, 35
1601, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14764/SS.14764_SS.18940.h5, FAILED, 16
5701, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10586/SS.10586_SS.16006.h5, FAILED, 57
5801, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10586/SS.10586_SS.18539.h5, FAILED, 58
5901, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10221/SS.10221_SS.17683.h5, FAILED, 59
3, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.07499/SS.07499_SS.18839.h5, FAILED, 0
6200, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10691/SS.10691_SS.17273.h5, FAILED, 62
6300, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10591/SS.10591_SS.18411.h5, FAILED, 63
6400, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10591/SS.10591_SS.15753.h5, FAILED, 64
4202, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.03659/SS.03659_SS.10190.h5, FAILED, 42
3802, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.15288/SS.15288_SS.15576.h5, FAILED, 38
4602, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10368/SS.10368_SS.17930.h5, FAILED, 46
6500, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10916/SS.10916_SS.17929.h5, FAILED, 65
802, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.04973/SS.04973_SS.10813.h5, FAILED, 8
5302, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09548/SS.09548_SS.14537.h5, FAILED, 53
302, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.17875/SS.17875_SS.18739.h5, FAILED, 3
702, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.04973/SS.04973_SS.16878.h5, FAILED, 7
3902, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.17892/SS.17892_SS.20247.h5, FAILED, 39
5602, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14976/SS.14976_SS.18340.h5, FAILED, 56
5002, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09806/SS.09806_SS.10386.h5, FAILED, 50
6600, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09220/SS.09220_SS.10222.h5, FAILED, 66
1002, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.05441/SS.05441_SS.20247.h5, FAILED, 10
5402, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09548/SS.09548_SS.15157.h5, FAILED, 54
4102, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.03659/SS.03659_SS.10935.h5, FAILED, 41
902, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.05441/SS.05441_SS.17877.h5, FAILED, 9
5202, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14648/SS.14648_SS.17875.h5, FAILED, 52
3002, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10737/SS.10737_SS.17018.h5, FAILED, 30
2202, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09529/SS.09529_SS.10721.h5, FAILED, 22
4902, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09806/SS.09806_SS.10798.h5, FAILED, 49
2003, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14768/SS.14768_SS.18739.h5, FAILED, 20
4002, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10763/SS.10763_SS.10916.h5, FAILED, 40
402, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10706/SS.10706_SS.17521.h5, FAILED, 4
2902, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.15604/SS.15604_SS.17455.h5, FAILED, 29
3102, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14599/SS.14599_SS.17940.h5, FAILED, 31
4802, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14578/SS.14578_SS.14599.h5, FAILED, 48
2702, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.17877/SS.17877_SS.18352.h5, FAILED, 27
4702, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.15869/SS.15869_SS.18365.h5, FAILED, 47
1302, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14753/SS.14753_SS.17853.h5, FAILED, 13
602, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10330/SS.10330_SS.10830.h5, FAILED, 6
6001, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10221/SS.10221_SS.14972.h5, FAILED, 60
4302, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.16694/SS.16694_SS.18940.h5, FAILED, 43
2302, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.05179/SS.05179_SS.17442.h5, FAILED, 23
1802, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10505/SS.10505_SS.14938.h5, FAILED, 18
5502, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14457/SS.14457_SS.18940.h5, FAILED, 55
502, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.16507/SS.16507_SS.17273.h5, FAILED, 5
5102, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09304/SS.09304_SS.17930.h5, FAILED, 51
2102, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.15729/SS.15729_SS.18157.h5, FAILED, 21
4502, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09637/SS.09637_SS.15678.h5, FAILED, 45
2802, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10857/SS.10857_SS.18539.h5, FAILED, 28
102, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.07499/SS.07499_SS.15672.h5, FAILED, 1
4402, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09637/SS.09637_SS.16814.h5, FAILED, 44
1502, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.06585/SS.06585_SS.15427.h5, FAILED, 15
2502, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.17859/SS.17859_SS.18308.h5, FAILED, 25
1702, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10505/SS.10505_SS.15016.h5, FAILED, 17
1202, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09268/SS.09268_SS.10406.h5, FAILED, 12
1402, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.06585/SS.06585_SS.10202.h5, FAILED, 14
3402, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10358/SS.10358_SS.10867.h5, FAILED, 34
