,names,starttime,endtime
84,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.14461..DPZ.453014461.2023.10.10.00.00.00.000.Z.miniseed,1696896000.0,1696982399.0
85,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.16490..DPN.453016490.2023.10.13.00.00.00.000.N.miniseed,1697155200.0,1697241600.0
86,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17853..DPN.453017853.2023.10.07.00.00.00.000.N.miniseed,1696636800.0,1696723200.0
87,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17723..DPN.453017723.2023.09.27.00.00.00.000.N.miniseed,1695772800.0,1695859200.0
88,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10899..DPE.453010899.2023.10.16.00.00.00.000.E.miniseed,1697414400.0,1697500800.0
89,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10222..DPZ.453010222.2023.09.29.00.00.00.000.Z.miniseed,1695945600.0,1696032000.0
90,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10740..DPZ.453010740.2023.10.17.00.00.00.000.Z.miniseed,1697500800.0,1697587200.0
91,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10190..DPZ.453010190.2023.10.08.00.00.00.000.Z.miniseed,1696723200.0,1696809600.0
92,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10454..DPE.453010454.2023.10.16.00.00.00.000.E.miniseed,1697414400.0,1697500800.0
93,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.18365..DPE.453018365.2023.10.11.00.00.00.000.E.miniseed,1696982400.0,1697068800.0
94,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.05179..DPZ.453005179.2023.09.28.00.00.00.000.Z.miniseed,1695859200.0,1695945600.0
95,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17521..DPE.453017521.2023.10.12.00.00.00.000.E.miniseed,1697068800.0,1697155200.0
96,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.09806..DPN.453009806.2023.10.04.00.00.00.000.N.miniseed,1696377600.0,1696464000.0
97,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.05283..DPN.453005283.2023.09.29.00.00.00.000.N.miniseed,1695945600.0,1696032000.0
